WEEK,MONTH,YOPLAIT UNITS,YOPLAIT PRICE,DANNON PRICE,CHOBANI PRICE
1,Jan,1431790,0.76,1.04,0
2,Jan,1549503,0.80,0.94,0
3,Jan,1448646,0.83,1.02,0
4,Jan,1398011,0.82,1.10,0
5,Feb,1525899,0.81,1.10,0
6,Feb,1315745,0.87,0.89,0
7,Feb,1247943,0.87,1.00,0
8,Feb,1206063,0.89,1.06,0
9,Mar,1541804,0.85,1.11,0
10,Mar,1493644,0.83,1.11,0
11,Mar,1355595,0.87,0.93,0
12,Mar,1309235,0.91,1.09,0
13,Mar,1370437,0.87,1.11,0
14,Apr,1498930,0.84,1.02,0
15,Apr,1321056,0.89,1.10,0
16,Apr,1203680,0.87,0.97,0
17,Apr,1236598,0.94,0.94,0
18,May,1493550,0.88,1.11,0
19,May,1262692,0.95,1.02,0
20,May,1365748,0.87,0.93,0
21,May,1283943,0.92,1.08,0
22,May,1373136,0.86,1.03,0
23,Jun,1550108,0.84,0.94,0
24,Jun,1411876,0.84,1.06,0
25,Jun,1277361,0.87,0.99,0
26,Jun,1158561,0.91,1.05,0
27,Jul,1259457,0.88,1.09,0
28,Jul,1175128,0.92,0.96,0
29,Jul,1310654,0.87,1.04,0
30,Jul,1264448,0.88,1.10,0
31,Aug,1237938,0.90,1.18,0
32,Aug,1258985,0.87,1.10,0
33,Aug,1189449,0.91,1.11,0
34,Aug,1221169,0.90,1.07,0
35,Aug,1165703,0.96,1.06,0
36,Sep,1479953,0.86,1.04,0
37,Sep,1432060,0.88,1.12,0
38,Sep,1357399,0.87,0.96,0
39,Sep,1317307,0.89,1.09,0
40,Oct,1355644,0.86,1.10,0
41,Oct,1454026,0.82,1.08,0
42,Oct,1293386,0.87,0.97,0
43,Oct,1254999,0.87,1.11,0
44,Nov,1148742,0.92,0.97,0
45,Nov,1260847,0.89,1.03,0
46,Nov,1174035,0.91,1.14,0
47,Nov,872032,0.95,1.22,0
48,Nov,1065456,0.92,1.07,0
49,Dec,1057973,0.96,1.15,0
50,Dec,962556,0.95,1.20,0
51,Dec,787937,1.01,1.22,0
52,Dec,704157,0.95,1.22,0
53,Jan,1151579,0.90,1.02,0
54,Jan,1559737,0.82,0.89,0
55,Jan,1501262,0.85,1.03,0
56,Jan,1435337,0.86,1.01,0
57,Jan,1635657,0.80,1.10,0
58,Feb,1677946,0.81,1.09,0
59,Feb,1573437,0.84,1.10,0
60,Feb,1475222,0.87,1.08,0
61,Mar,1668945,0.83,1.04,0
62,Mar,1495472,0.87,1.03,0
63,Mar,1563224,0.86,1.11,0
64,Mar,1558915,0.85,1.03,0
65,Mar,1443108,0.88,1.18,0
66,Apr,1361577,0.88,1.04,0
67,Apr,1768022,0.81,0.96,0
68,Apr,1812022,0.80,1.06,0
69,Apr,1437629,0.87,1.09,0
70,May,1590100,0.84,1.04,0
71,May,1751563,0.81,1.07,0
72,May,1610157,0.83,1.07,0
73,May,1559985,0.83,1.12,0
74,May,1299422,0.93,1.04,0
75,Jun,1379162,0.92,1.04,0
76,Jun,1282367,0.95,0.93,0
77,Jun,1210473,0.94,0.99,0
78,Jun,1214817,0.94,0.93,0
79,Jul,1106986,0.96,1.08,0
80,Jul,1221681,0.95,1.03,0
81,Jul,1282190,0.95,1.07,0
82,Jul,1208327,0.93,0.93,0
83,Aug,1249499,0.94,0.97,0
84,Aug,1235451,0.93,1.08,0
85,Aug,1208857,0.93,1.08,0
